method,iter,K,budget,NMI,aRand,purity,numclusters,time,trueclusters
gpbi,27,4,2000,1,1,1,12,1.272371,12
nbc2,28,0,0,0.94452304281501,0.935841928614159,1,32,0.068653,12
bapd,28,0,0,0.425483519458666,0.099962989937354,0.675,100,0.596746,12
seed,28,0,0,0.796812057273985,0.473789785668496,0.981,22,0.047236,12
gpbi,28,4,2000,0.998427245383498,0.999049279643501,1,13,1.275737,12
nbc2,29,0,0,0.941239700290518,0.928188071010529,1,32,0.068251,12
bapd,29,0,0,0.407758172180459,0.130476795187096,0.654,93,0.547058,12
seed,29,0,0,0.798688547541982,0.482013121243726,0.981,22,0.046933,12
gpbi,29,4,2000,0.998428442142184,0.999042981999678,1,13,1.277437,12
nbc2,30,0,0,0.945475817132896,0.935218271518975,1,34,0.068515,12
bapd,30,0,0,0.382586361539133,0.0972638521944174,0.612,86,0.545812,12
seed,30,0,0,0.803681224903555,0.49688434515734,0.982,22,0.046824,12
gpbi,30,4,2000,0.998429409574134,0.999058017299457,1,13,1.269427,12
nbc2,31,0,0,0.952789314311426,0.947007225537248,1,32,0.068505,12
bapd,31,0,0,0.383854205723094,0.102396723816624,0.604,83,0.646454,12
seed,31,0,0,0.824558220126231,0.585263974891219,0.983,21,0.046859,12
gpbi,31,4,2000,0.998384062949991,0.999016783516664,1,13,1.276399,12
nbc2,32,0,0,0.95375054556689,0.952413888423348,1,31,0.068624,12
bapd,32,0,0,0.410451954084842,0.112495105948875,0.628,85,0.599967,12
seed,32,0,0,0.831658985779602,0.598788482269011,0.984,20,0.046811,12
gpbi,32,4,2000,1,1,1,12,1.276738,12
nbc2,33,0,0,0.965950527779891,0.970239837479806,1,28,0.068418,12
bapd,33,0,0,0.40350124312529,0.0968585496214811,0.643,92,0.672974,12
seed,33,0,0,0.838313955611106,0.615663374742807,0.985,19,0.052799,12
gpbi,33,4,2000,1,1,1,12,1.270352,12
nbc2,34,0,0,0.962816644885683,0.970060514226042,1,26,0.069006,12
bapd,34,0,0,0.435935382206174,0.12786535168193,0.692,115,0.869767,12
seed,34,0,0,0.838611582733824,0.623947316566539,0.985,19,0.046197,12
gpbi,34,4,2000,1,1,1,12,1.266378,12
nbc2,35,0,0,0.95443614840456,0.95308000260325,1,26,0.068289,12
bapd,35,0,0,0.451264815180554,0.137291337312451,0.743,114,0.837299,12
seed,35,0,0,0.857359046710925,0.673892203325266,0.986,18,0.046616,12
gpbi,35,4,2000,1,1,1,12,1.26795,12
nbc2,36,0,0,0.951599167999287,0.951350470377114,1,25,0.068162,12
bapd,36,0,0,0.436598603197975,0.0839963902063794,0.725,96,0.693326,12
seed,36,0,0,0.853327871603277,0.658693695058146,0.987,18,0.046194,12
gpbi,36,4,2000,1,1,1,12,1.267587,12
nbc2,37,0,0,0.957938727202576,0.962414939813002,1,25,0.06794,12
bapd,37,0,0,0.439225618053047,0.0758515483888259,0.734,108,0.820347,12
seed,37,0,0,0.855583464793701,0.660854571871042,0.986,17,0.046348,12
gpbi,37,4,2000,1,1,1,12,1.269384,12
nbc2,38,0,0,0.957964876889567,0.966406365393976,1,25,0.067919,12
bapd,38,0,0,0.415705728049284,0.077275103730338,0.676,103,0.745689,12
seed,38,0,0,0.853706481656913,0.653971433190151,0.987,17,0.045966,12
gpbi,38,4,2000,1,1,1,12,1.268133,12
nbc2,39,0,0,0.966086528613517,0.971922854772075,1,24,0.068907,12
bapd,39,0,0,0.418885233346498,0.11097311935679,0.749,112,0.852028,12
seed,39,0,0,0.850186212358061,0.641301856535962,0.987,17,0.046132,12
gpbi,39,4,2000,1,1,1,12,1.26645,12
nbc2,40,0,0,0.965683683200155,0.972573217839029,1,25,0.068573,12
bapd,40,0,0,0.407143677083202,0.140633084953187,0.699,83,0.745045,12
seed,40,0,0,0.850469470073958,0.63999584832015,0.987,16,0.045839,12
gpbi,40,4,2000,1,1,1,12,1.270703,12
nbc2,41,0,0,0.978173531840857,0.982906131027255,1,20,0.068155,12
bapd,41,0,0,0.370855003857888,0.0982382035453299,0.673,76,0.734514,12
